date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:12	381736/381736	---MCZ	200	added ('OK')	text/html	etag:cacheable:134769818fa6fb535d7eb464a008da37	https://itcstore.in/pages/cooking-ingredients	C:/My%20Web%20Sites/ITC/itcstore.in/pages/cooking-ingredients.html	(from https://itcstore.in/)
13:32:13	376241/376241	---MCZ	200	added ('OK')	text/html	etag:cacheable:2537f84efc419e9fc95f29fa69912e50	https://itcstore.in/pages/itc-master-chef-all-purpose-gravies	C:/My%20Web%20Sites/ITC/itcstore.in/pages/itc-master-chef-all-purpose-gravies.html	(from https://itcstore.in/)
13:32:13	379865/379865	---MCZ	200	added ('OK')	text/html	etag:cacheable:0aeead0a8b23f20f18328c3d013c1615	https://itcstore.in/pages/sunrise-pure	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunrise-pure.html	(from https://itcstore.in/)
13:32:14	373291/373291	---MCZ	200	added ('OK')	text/html	etag:cacheable:bbb499dcc1fb58dd244ff2f4d0b58d7f	https://itcstore.in/collections/snacks	C:/My%20Web%20Sites/ITC/itcstore.in/collections/snacks.html	(from https://itcstore.in/)
13:32:14	626058/626058	---MCZ	200	added ('OK')	text/html	etag:cacheable:a22fe50e4e9553a3475466c7239acfe9	https://itcstore.in/pages/bingo-mad-angles	C:/My%20Web%20Sites/ITC/itcstore.in/pages/bingo-mad-angles.html	(from https://itcstore.in/)
13:32:14	384412/384412	---MCZ	200	added ('OK')	text/html	etag:cacheable:2dfc2bced81936818fea0fa4b8546ac7	https://itcstore.in/pages/bingo-original-style	C:/My%20Web%20Sites/ITC/itcstore.in/pages/bingo-original-style.html	(from https://itcstore.in/)
13:32:16	387765/387765	---MCZ	200	added ('OK')	text/html	etag:cacheable:4555fb060a3898962526f7ac67a4e15b	https://itcstore.in/pages/bingo-potato-chips	C:/My%20Web%20Sites/ITC/itcstore.in/pages/bingo-potato-chips.html	(from https://itcstore.in/)
13:32:17	625759/625759	---MCZ	200	added ('OK')	text/html	etag:cacheable:b99c741e392e677710aa049595c8c4e1	https://itcstore.in/pages/bingo-tedhe-medhe	C:/My%20Web%20Sites/ITC/itcstore.in/pages/bingo-tedhe-medhe.html	(from https://itcstore.in/)
13:32:17	372663/372663	---MCZ	200	added ('OK')	text/html	etag:cacheable:7ffd35e26db7457fa02ea753fff5ec82	https://itcstore.in/collections/beverages	C:/My%20Web%20Sites/ITC/itcstore.in/collections/beverages.html	(from https://itcstore.in/)
13:32:18	381407/381407	---MCZ	200	added ('OK')	text/html	etag:cacheable:0a4bfcc5f7af6ec7482a2a56f56b6271	https://itcstore.in/pages/b-natural	C:/My%20Web%20Sites/ITC/itcstore.in/pages/b-natural.html	(from https://itcstore.in/)
13:32:19	634997/634997	---MCZ	200	added ('OK')	text/html	etag:cacheable:fed127db0af2fb4d71147ce95303dce1	https://itcstore.in/pages/gourmet-sunbean-coffee	C:/My%20Web%20Sites/ITC/itcstore.in/pages/gourmet-sunbean-coffee.html	(from https://itcstore.in/)
13:32:19	377330/377330	---MCZ	200	added ('OK')	text/html	etag:cacheable:4adb039bd5dc9a86dfceb58f1aaa57a1	https://itcstore.in/pages/sunbean-beaten-coffee	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunbean-beaten-coffee.html	(from https://itcstore.in/)
13:32:20	747999/747999	---MCZ	200	added ('OK')	text/html	etag:cacheable:25c38224f3e2df40f26672c9436f386e	https://itcstore.in/pages/sunfeast-milkshakes	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-milkshakes.html	(from https://itcstore.in/)
13:32:20	370708/370708	---MCZ	200	added ('OK')	text/html	etag:cacheable:f100c5e3be0e83783eb30f2d0e29e180	https://itcstore.in/collections/dairy	C:/My%20Web%20Sites/ITC/itcstore.in/collections/dairy.html	(from https://itcstore.in/)
13:32:21	382277/382277	---MCZ	200	added ('OK')	text/html	etag:cacheable:aaba387574797b37de57c7213be10128	https://itcstore.in/pages/aashirvaad-svasti-ghee	C:/My%20Web%20Sites/ITC/itcstore.in/pages/aashirvaad-svasti-ghee.html	(from https://itcstore.in/)
13:32:21	382553/382553	---MCZ	200	added ('OK')	text/html	etag:cacheable:e806dc26361d08c535440a1db17404f2	https://itcstore.in/pages/itc-paneer	C:/My%20Web%20Sites/ITC/itcstore.in/pages/itc-paneer.html	(from https://itcstore.in/)
13:32:23	749691/749691	---MCZ	200	added ('OK')	text/html	etag:cacheable:46ec104d9a61afac4fae3bee804567e3	https://itcstore.in/pages/aashirvaad-instant-mixes	C:/My%20Web%20Sites/ITC/itcstore.in/pages/aashirvaad-instant-mixes.html	(from https://itcstore.in/)
13:32:24	370839/370839	---MCZ	200	added ('OK')	text/html	etag:cacheable:b462f959aac0e2c42e12aae169ca4a15	https://itcstore.in/collections/ready-to-eat	C:/My%20Web%20Sites/ITC/itcstore.in/collections/ready-to-eat.html	(from https://itcstore.in/)
13:32:24	390717/390717	---MCZ	200	added ('OK')	text/html	etag:cacheable:708f01487d9148b41dc77a43b6338248	https://itcstore.in/pages/kitchens-of-india	C:/My%20Web%20Sites/ITC/itcstore.in/pages/kitchens-of-india.html	(from https://itcstore.in/)
13:32:25	378698/378698	---MCZ	200	added ('OK')	text/html	etag:cacheable:c53144ebce55304f5bdddd232f631624	https://itcstore.in/pages/aashirvaad-instant-meals	C:/My%20Web%20Sites/ITC/itcstore.in/pages/aashirvaad-instant-meals.html	(from https://itcstore.in/)
13:32:25	378023/378023	---MCZ	200	added ('OK')	text/html	etag:cacheable:22912f86eae9352f4d16d335e0dee899	https://itcstore.in/pages/itc-master-chef-spreads-dips	C:/My%20Web%20Sites/ITC/itcstore.in/pages/itc-master-chef-spreads-dips.html	(from https://itcstore.in/)
13:32:26	372361/372361	---MCZ	200	added ('OK')	text/html	etag:cacheable:00bdfcc7f4ece4c11f1cbbcd2696b67b	https://itcstore.in/collections/confectionery	C:/My%20Web%20Sites/ITC/itcstore.in/collections/confectionery.html	(from https://itcstore.in/)
13:32:27	379552/379552	---MCZ	200	added ('OK')	text/html	etag:cacheable:dcd2a75320786fe8744c3fdb4c8fd625	https://itcstore.in/pages/jelimals	C:/My%20Web%20Sites/ITC/itcstore.in/pages/jelimals.html	(from https://itcstore.in/)
13:32:27	463255/463255	---MCZ	200	added ('OK')	text/html	etag:cacheable:1fd375ae826a712a6473071460304fde	https://itcstore.in/pages/candyman-fantastik	C:/My%20Web%20Sites/ITC/itcstore.in/pages/candyman-fantastik.html	(from https://itcstore.in/)
13:32:28	379069/379069	---MCZ	200	added ('OK')	text/html	etag:cacheable:b693393001aeceb35ef24acad6bbc4f7	https://itcstore.in/pages/candyman-choco-double-eclairs	C:/My%20Web%20Sites/ITC/itcstore.in/pages/candyman-choco-double-eclairs.html	(from https://itcstore.in/)
13:32:29	372181/372181	---MCZ	200	added ('OK')	text/html	etag:cacheable:6aa1c3be2e2a0f6e21d9b2455c05c182	https://itcstore.in/collections/chocolate	C:/My%20Web%20Sites/ITC/itcstore.in/collections/chocolate.html	(from https://itcstore.in/)
